snapped_at,price,market_cap,total_volume
2021-12-05 00:00:00 UTC,22.018398598536688,47227290.03962371,3830.972280740752
2021-12-06 00:00:00 UTC,20.18950323699742,43397926.5151649,2624.3011400072915
2021-12-07 00:00:00 UTC,21.76016658337551,46781578.67741245,4433.40432951152
2021-12-08 00:00:00 UTC,31.913121399204034,68601927.80508676,56741.01806420002
2021-12-09 00:00:00 UTC,42.29104401395565,90721128.91501905,68490.27836306539
2021-12-10 00:00:00 UTC,107.89651993793525,228518659.87645626,4000569.969557777
2021-12-11 00:00:00 UTC,83.4473603707531,180068532.56940696,554453.380709445
2021-12-12 00:00:00 UTC,91.17065492169053,196367587.27308518,2015595.6268199254
2021-12-13 00:00:00 UTC,112.88628864567595,220362164.39048138,552949.3159892743
2021-12-14 00:00:00 UTC,98.29281233293516,211294794.10908216,218864.5419828934
2021-12-15 00:00:00 UTC,115.83234014243493,213179071.7371334,404897.03247305844
2021-12-16 00:00:00 UTC,119.25969286691718,256366174.20686194,316833.77253052744
2021-12-17 00:00:00 UTC,110.96946493172052,238503781.093166,156804.72718151248
2021-12-18 00:00:00 UTC,103.60423332463576,223029134.87312824,204418.59413479856
2021-12-19 00:00:00 UTC,93.7108013690595,224357391.44404426,158597.30374184638
2021-12-20 00:00:00 UTC,87.52181622277816,188140960.66562933,179417.95574676993
2021-12-21 00:00:00 UTC,90.07572222279714,193729028.330417,75386.62911113806
2021-12-22 00:00:00 UTC,83.91894644534156,180615294.37512186,56579.85860410838
2021-12-23 00:00:00 UTC,98.78801551441971,212230180.53555575,103017.5660177753
2021-12-24 00:00:00 UTC,118.19674584247694,253425081.57565132,234657.8230066899
2021-12-25 00:00:00 UTC,119.68025294720198,257653437.34139743,259276.7391694159
2021-12-26 00:00:00 UTC,124.87212947760499,266242792.05100286,108105.09616891637
2021-12-27 00:00:00 UTC,182.2770696953404,391750259.38069665,717833.0267165701
2021-12-28 00:00:00 UTC,188.86610835472845,406329624.8850553,1261429.8447880528
2021-12-29 00:00:00 UTC,174.13594849100397,375398020.4354632,657892.6613346937
2021-12-30 00:00:00 UTC,165.96724988680458,356227969.86521983,488016.8150085737
2021-12-31 00:00:00 UTC,169.42272393301943,364198955.35771793,293205.0856265874
2022-01-01 00:00:00 UTC,164.76288380531716,354593090.4126172,233259.90487156488
2022-01-02 00:00:00 UTC,158.08025526557162,339816657.96592724,441834.7730978304
2022-01-03 00:00:00 UTC,170.53797579992641,367439440.606288,374450.3075082709
2022-01-04 00:00:00 UTC,169.77506226847558,364956358.2062069,298573.50377234473
2022-01-05 00:00:00 UTC,157.45052545343952,361248660.2107573,301342.4789872672
2022-01-06 00:00:00 UTC,117.7629165020038,306954760.8040501,258989.0250062729
2022-01-07 00:00:00 UTC,143.8914384400885,305215131.9861655,330512.57639296027
2022-01-08 00:00:00 UTC,137.4548449821826,295647502.87528735,136571.34462753867
2022-01-09 00:00:00 UTC,140.38266187565063,302402082.3774641,109969.47245609305
2022-01-10 00:00:00 UTC,154.74969204879832,331000823.64155203,176700.94867705353
2022-01-11 00:00:00 UTC,147.75261335057405,317615879.2897581,254525.13457065666
2022-01-12 00:00:00 UTC,143.87082606600356,309271409.0726438,94334.08613661668
2022-01-13 00:00:00 UTC,142.2737586690548,305838278.8283528,244431.52030408022
2022-01-14 00:00:00 UTC,126.41296428056842,271743178.635571,95017.10582799367
2022-01-15 00:00:00 UTC,120.1323842203248,258403357.13583088,75907.47612707307
